,countries,cases,todays,deaths,recovered,active
0,World,"190,804,868","+50,360","4,099,310","173,858,111","12,847,447"
1,USA,"34,953,937",,"624,715","29,369,181","4,960,041"
2,India,"31,106,065",+795,"413,640","30,269,796","422,629"
3,Brazil,"19,342,448",,"541,323","17,983,275","817,850"
4,Russia,"5,933,115",,"147,655","5,322,345","463,115"
5,France,"5,855,198",,"111,467","5,658,554","85,177"
6,Turkey,"5,522,039",,"50,488","5,380,752","90,799"
7,UK,"5,386,340",,"128,683","4,390,942","866,715"
8,Argentina,"4,749,443",,"101,434","4,379,169","268,840"
9,Colombia,"4,621,260",,"115,831","4,372,434","132,995"
10,Italy,"4,284,332",,"127,864","4,112,977","43,491"
11,Spain,"4,100,222",,"81,096","3,660,683","358,443"
12,Germany,"3,751,234",,"91,894","3,639,300","20,040"
13,Iran,"3,501,079",,"86,966","3,118,349","295,764"
14,Poland,"2,881,355",,"75,212","2,652,951","153,192"
15,Indonesia,"2,832,755",,"72,489","2,232,394","527,872"
16,Mexico,"2,654,699","+12,631","236,240","2,080,483","337,976"
17,South Africa,"2,283,880",,"66,676","2,028,881","188,323"
18,Ukraine,"2,244,495",+299,"52,726","2,181,198","10,571"
19,Peru,"2,092,125",,"195,047",N/A,N/A
20,Netherlands,"1,788,435",,"17,775","1,658,933","111,727"
21,Czechia,"1,671,027",+195,"30,338","1,637,729","2,960"
22,Chile,"1,598,481",,"34,403","1,549,660","14,418"
23,Philippines,"1,507,755","+5,411","26,714","1,433,851","47,190"
24,Iraq,"1,483,014",,"17,789","1,348,303","116,922"
25,Canada,"1,422,918",,"26,492","1,391,722","4,704"
26,Belgium,"1,103,413",,"25,209","1,051,372","26,832"
27,Sweden,"1,094,287",,"14,609","1,072,204","7,474"
28,Bangladesh,"1,092,411",,"17,669","923,163","151,579"
29,Romania,"1,081,588",,"34,252","1,046,719",617
30,Pakistan,"989,275","+2,607","22,781","919,163","47,331"
31,Portugal,"927,424",,"17,199","860,449","49,776"
32,Malaysia,"905,851",,"6,866","779,171","119,814"
33,Israel,"851,142",+174,"6,448","838,072","6,622"
34,Japan,"834,618",,"15,027","795,388","24,203"
35,Hungary,"808,725",,"30,015","742,632","36,078"
36,Jordan,"760,550",,"9,887","742,730","7,933"
37,Serbia,"718,465",,"7,080","709,307","2,078"
38,Switzerland,"707,976",,"10,902","690,364","6,710"
39,Nepal,"665,886",,"9,527","630,407","25,952"
40,UAE,"659,449",,"1,896","637,267","20,286"
41,Austria,"653,412",,"10,728","639,422","3,262"
42,Morocco,"555,488",,"9,434","530,801","15,253"
43,Lebanon,"550,492",,"7,884","535,216","7,392"
44,Tunisia,"540,798",,"17,354","429,646","93,798"
45,Saudi Arabia,"508,521",,"8,063","489,553","10,905"
46,Kazakhstan,"488,905","+5,493","4,956","430,060","53,889"
47,Ecuador,"475,215",,"21,933","437,167","16,115"
48,Bolivia,"461,714",+896,"17,443","389,170","55,101"
49,Greece,"455,754",,"12,816","414,538","28,400"
50,Paraguay,"444,427",,"14,230","402,305","27,892"
51,Belarus,"433,409",,"3,316","427,025","3,068"
52,Bulgaria,"422,930",,"18,169","397,170","7,591"
53,Panama,"421,957",,"6,697","401,758","13,502"
54,Thailand,"403,386","+11,397","3,341","283,910","116,135"
55,Slovakia,"392,071",,"12,524","379,172",375
56,Costa Rica,"389,798",,"4,874","313,223","71,701"
57,Georgia,"387,481","+1,286","5,551","365,019","16,911"
58,Kuwait,"384,573",,"2,211","365,507","16,855"
59,Uruguay,"378,733",,"5,879","367,967","4,887"
60,Croatia,"361,488",,"8,236","352,529",723
61,Azerbaijan,"338,183",,"4,991","331,200","1,992"
62,Dominican Republic,"337,147",,"3,915","278,707","54,525"
63,Guatemala,"333,126",,"9,898","290,113","33,115"
64,Palestine,"315,641",,"3,587","310,525","1,529"
65,Denmark,"305,459",,"2,542","292,468","10,449"
66,Venezuela,"291,716",,"3,362","274,522","13,832"
67,Oman,"289,042",,"3,498","263,752","21,792"
68,Egypt,"283,636",,"16,439","223,213","43,984"
69,Sri Lanka,"283,512",,"3,733","255,833","23,946"
70,Ireland,"283,331",,"5,018","263,028","15,285"
71,Lithuania,"279,662",,"4,404","268,319","6,939"
72,Honduras,"277,974",,"7,391","95,311","175,272"
73,Ethiopia,"277,615",,"4,354","262,265","10,996"
74,Cuba,"275,608",,"1,843","230,140","43,625"
75,Bahrain,"267,796",,"1,380","265,521",895
76,Slovenia,"258,169",,"4,425","252,994",750
77,Moldova,"257,903",,"6,224","250,861",818
78,Armenia,"227,430",+132,"4,566","218,331","4,533"
79,Myanmar,"224,236",,"4,769","158,969","60,498"
80,Qatar,"224,160",,599,"222,011","1,550"
81,Libya,"217,434",,"3,253","182,785","31,396"
82,Bosnia and Herzegovina,"205,285",,"9,666","187,213","8,406"
83,Kenya,"192,435",,"3,760","181,682","6,993"
84,Zambia,"184,672",,"3,052","169,320","12,300"
85,S. Korea,"177,951","+1,451","2,057","158,953","16,941"
86,Nigeria,"169,329",,"2,126","164,672","2,531"
87,North Macedonia,"155,901",,"5,487","150,168",246
88,Algeria,"152,210",,"3,922","104,992","43,296"
89,Kyrgyzstan,"149,029","+1,373","2,175","125,161","21,693"
90,Mongolia,"147,253","+1,466",734,"130,612","15,907"
91,Afghanistan,"140,612",,"6,147","87,634","46,831"
